Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM, Storage,GPU,Operating System,Operating System Version,Weight,Price (Euros),file_path
hp,elitebook x360,2 in 1 convertible,"13.3""",full hd / touchscreen 1920x1080,intel core i7 7600u 2.8ghz,16gb,256gb ssd,intel hd graphics 620,windows,10,1.28kg,"1975,00",hp.jpeg
toshiba,satellite pro,notebook,"15.6""",ips panel full hd 1920x1080,intel core i7 6500u 2.5ghz,8gb,256gb ssd,nvidia geforce 930m,windows,10,2.2kg,"1043,00",toshiba.webp
lenovo,ideapad 320-15ikb,notebook,"15.6""",full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce 940mx,windows,10,2.3kg,"819,00",lenovo.webp
hp,250 g6,notebook,"15.6""",full hd 1920x1080,intel core i3 6006u 2ghz,4gb,1tb hdd,intel hd graphics 520,windows,10,1.86kg,"469,00",hp.jpeg
lenovo,ideapad 720s-13ikb,notebook,"13.3""",ips panel full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.1kg,"999,00",lenovo.webp
dell,xps 13,ultrabook,"13.3""",ips panel 4k ultra hd / touchscreen 3840x2160,intel core i7 8550u 1.8ghz,16gb,1tb ssd,intel uhd graphics 620,windows,10,1.21kg,"2499,00",dell.jpeg
msi,ge63vr 7rf,gaming,"15.6""",ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce gtx 1070,windows,10,2.8kg,"2099,00",msi.webp
acer,es1-523-84k7 (a8-7410/8gb/256gb/fhd/w10),notebook,"15.6""",full hd 1920x1080,amd a8-series 7410 2.2ghz,8gb,256gb ssd,amd radeon r5,windows,10,2.23kg,"469,00",default.jpg
asus,vivobook flip,2 in 1 convertible,"11.6""",touchscreen 1366x768,intel celeron dual core n3350 1.1ghz,2gb,32gb flash storage,intel hd graphics 500,windows,10,1.1kg,"275,00",default.jpg
dell,inspiron 5570,notebook,"15.6""",full hd 1920x1080,intel core i5 8250u 1.6ghz,8gb,128gb ssd +  1tb hdd,amd radeon 530,windows,10,2.33kg,"844,00",dell.jpeg
hp,spectre x360,2 in 1 convertible,"13.3""",ips panel 4k ultra hd / touchscreen 3840x2160,intel core i7 8550u 1.8ghz,16gb,1tb ssd,intel uhd graphics 620,windows,10,1.29kg,"2449,00",hp.jpeg
lenovo,thinkpad 13,notebook,"13.3""",1366x768,intel celeron dual core 3855u 1.6ghz,4gb,16gb flash storage,intel hd graphics 510,chrome os,,1.45kg,"459,90",lenovo.webp
hp,probook 640,notebook,"14.0""",full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.95kg,"980,00",hp.jpeg
acer,travelmate b,notebook,"11.6""",1366x768,intel pentium quad core n3710 1.6ghz,4gb,128gb flash storage,intel hd graphics 405,windows,10,1.4kg,"485,00",default.jpg
hp,elitebook 840,notebook,"14.0""",full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.48kg,"1292,00",hp.jpeg
lenovo,ideapad 320-17ikb,notebook,"17.3""",1600x900,intel core i5 7200u 2.5ghz,4gb,1tb hdd,nvidia geforce 920mx,windows,10,2.79kg,"589,00",lenovo.webp
asus,zenbook ux410ua-gv183t,notebook,"14.0""",full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,2kg,"1094,00",default.jpg
hp,probook 450,notebook,"15.6""",ips panel full hd 1366x768,intel core i7 8550u 1.8ghz,8gb,1tb hdd,intel uhd graphics 620,windows,10,2.1kg,"902,00",hp.jpeg
acer,aspire 5,notebook,"15.6""",1366x768,amd a12-series 9720p 2.7ghz,8gb,256gb ssd,amd radeon rx 540,windows,10,2.2kg,"659,00",default.jpg
lenovo,ideapad 120s-14iap,notebook,"14.0""",1366x768,intel celeron dual core n3350 1.1ghz,4gb,32gb flash storage,intel hd graphics 500,windows,10,1.44kg,"292,00",lenovo.webp
acer,aspire e5-575,notebook,"15.6""",1366x768,intel core i5 7200u 2.5ghz,6gb,1tb hdd,intel hd graphics 620,windows,10,2.23kg,"549,00",default.jpg
asus,vivobook s15,ultrabook,"15.6""",full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,nvidia geforce 940mx,windows,10,1.7kg,"1049,90",default.jpg
hp,elitebook 820,ultrabook,"12.5""",full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.26kg,"1335,00",hp.jpeg
dell,xps 15,notebook,"15.6""",4k ultra hd / touchscreen 3840x2160,intel core i7 7700hq 2.8ghz,32gb,1tb ssd,nvidia geforce gtx 1050,windows,10,2.06kg,"2639,00",dell.jpeg
msi,gl72m 7rex,gaming,"17.3""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,256gb ssd +  1tb hdd,nvidia geforce gtx 1050 ti,windows,10,2.7kg,"1199,00",msi.webp
toshiba,satellite pro,notebook,"15.6""",ips panel full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,2.0kg,"943,00",toshiba.webp
asus,ux510ux-cn269t (i7-7500u/8gb/256gb,notebook,"14.0""",full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd +  1tb hdd,intel hd graphics 620,windows,10,2kg,"1334,00",default.jpg
lenovo,v310-15isk (i3-6006u/4gb/1tb/fhd/w10),notebook,"15.6""",full hd 1920x1080,intel core i3 6006u 2ghz,4gb,1tb hdd,intel hd graphics 520,windows,10,1.85kg,"449,00",lenovo.webp
asus,fx553vd-fy647t (i7-7700hq/8gb/256gb/geforce,gaming,"15.6""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,256gb ssd,nvidia geforce gtx 1050,windows,10,2.5kg,"999,00",default.jpg
hp,elitebook 840,notebook,"14.0""",full hd 1920x1080,intel core i5 7300u 2.6ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.48kg,"1268,00",hp.jpeg
dell,inspiron 7570,ultrabook,"15.6""",ips panel full hd 1920x1080,intel core i5 8250u 1.6ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce 940mx,windows,10,1.9kg,"1049,00",dell.jpeg
hp,elitebook 850,notebook,"15.6""",full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.84kg,"1144,00",hp.jpeg
asus,x541na (n3350/4gb/1tb/linux),notebook,"15.6""",1366x768,intel celeron dual core n3350 1.1ghz,4gb,1tb hdd,intel hd graphics 500,linux,,2kg,"274,99",default.jpg
dell,inspiron 7570,notebook,"15.6""",full hd 1920x1080,intel core i5 8250u 1.6ghz,8gb,256gb ssd,nvidia geforce 940mx,windows,10,2kg,"1142,75",dell.jpeg
dell,inspiron 3552,notebook,"15.6""",1366x768,intel celeron dual core n3060 1.6ghz,4gb,500gb hdd,intel hd graphics,linux,,2.2kg,"274,90",dell.jpeg
lenovo,ideapad 320-15abr,notebook,"15.6""",full hd 1920x1080,amd a12-series 9720p 3.6ghz,12gb,2tb hdd,amd radeon 530,windows,10,2.2kg,"899,00",lenovo.webp
hp,probook 450,notebook,"15.6""",ips panel full hd 1920x1080,intel core i3 7100u 2.4ghz,8gb,1tb hdd,nvidia geforce 930mx ,windows,10,2.1kg,"716,00",hp.jpeg
lenovo,yoga 920-13ikb,2 in 1 convertible,"13.9""",ips panel 4k ultra hd / touchscreen 3840x2160,intel core i7 8550u 1.8ghz,16gb,512gb ssd,intel uhd graphics 620,windows,10,1.4kg,"2099,00",lenovo.webp
dell,xps 13,ultrabook,"13.3""",full hd 1920x1080,intel core i7 8550u 1.8ghz,8gb,256gb ssd,intel uhd graphics 620,windows,10,1.2kg,"1579,00",dell.jpeg
lenovo,legion y520-15ikbn,gaming,"15.6""",ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,256gb ssd +  2tb hdd,nvidia geforce gtx 1050 ti,windows,10,2.4kg,"1129,00",lenovo.webp
hp,stream 14-ax001nv,notebook,"14.0""",1366x768,intel celeron dual core n3060 1.6ghz,2gb,32gb flash storage,intel hd graphics 400,windows,10,1.44kg,"279,00",hp.jpeg
dell,latitude 5590,ultrabook,"15.6""",full hd 1920x1080,intel core i7 8650u 1.9ghz,16gb,512gb ssd +  256gb ssd,intel uhd graphics 620,windows,10,1.88kg,"1607,96",dell.jpeg
asus,vivobook flip,2 in 1 convertible,"11.6""",touchscreen 1366x768,intel celeron dual core n3350 1.1ghz,4gb,32gb flash storage,intel hd graphics 500,windows,10,1.5kg,"375,00",default.jpg
dell,inspiron 5570,ultrabook,"15.6""",full hd 1920x1080,intel core i5 8250u 1.6ghz,8gb,1tb hdd,amd radeon 530,windows,10,1.9kg,"663,00",dell.jpeg
dell,xps 15,notebook,"15.6""",4k ultra hd / touchscreen 3840x2160,intel core i7 7700hq 2.8ghz,16gb,512gb ssd,nvidia geforce gtx 1050,windows,10,2.06kg,"2027,42",dell.jpeg
hp,elitebook 850,notebook,"15.6""",full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.84kg,"1304,00",hp.jpeg
msi,gp72mvr 7rfx,gaming,"17.3""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce gtx 1060,windows,10,2.7kg,"1409,00",msi.webp
hp,zbook 15,workstation,"15.6""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,256gb ssd,nvidia quadro m1200,windows,10,2.6kg,"1738,27",hp.jpeg
toshiba,tecra a50-c-21g,notebook,"15.6""",ips panel full hd 1920x1080,intel core i7 6500u 2.5ghz,16gb,512gb ssd,nvidia geforce 930m,windows,10,2.4kg,"1403,00",toshiba.webp
dell,inspiron 5570,notebook,"15.6""",full hd 1920x1080,intel core i7 8550u 1.8ghz,8gb,128gb ssd +  2tb hdd,amd radeon 530,windows,10,2.02kg,"970,90",dell.jpeg
lenovo,ideapad 320-15iap,notebook,"15.6""",1366x768,intel celeron dual core n3350 1.1ghz,4gb,1tb hdd,intel hd graphics 500,no os,,2.2kg,"321,99",lenovo.webp
dell,inspiron 7577,gaming,"15.6""",full hd 1920x1080,intel core i5 7300hq 2.5ghz,8gb,1tb hdd,nvidia geforce gtx 1050,windows,10,2.65kg,"999,00",dell.jpeg
dell,inspiron 3567,notebook,"15.6""",touchscreen 1366x768,intel core i5 7200u 2.5ghz,8gb,2tb hdd,intel hd graphics 620,windows,10,2.36kg,"557,37",dell.jpeg
dell,latitude 7480,notebook,"14.0""",full hd 1920x1080,intel core i5 7300u 2.6ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.36kg,"1427,00",dell.jpeg
hp,250 g6,notebook,"15.6""",1366x768,intel core i3 6006u 2ghz,4gb,500gb hdd,intel hd graphics 520,windows,10,1.86kg,"439,00",hp.jpeg
asus,zenbook ux410ua-gv027t,notebook,"14.0""",full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,2kg,"945,00",default.jpg
lenovo,ideapad 320-17ikb,notebook,"17.3""",1600x900,intel core i5 7200u 2.5ghz,6gb,128gb ssd +  1tb hdd,nvidia geforce gtx 940mx,windows,10,2.8kg,"719,00",lenovo.webp
hp,250 g6,notebook,"15.6""",full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,1tb hdd,intel hd graphics 620,windows,10,1.86kg,"639,00",hp.jpeg
lenovo,ideapad 320-15isk,notebook,"15.6""",1366x768,intel core i3 6006u 2ghz,8gb,256gb ssd,nvidia geforce 920mx ,no os,,2.2kg,"499,00",lenovo.webp
hp,15-ay023na (n3710/8gb/2tb/w10),notebook,"15.6""",1366x768,intel pentium quad core n3710 1.6ghz,8gb,2tb hdd,intel hd graphics 405,windows,10,2.04kg,"389,00",hp.jpeg
dell,inspiron 5770,notebook,"17.3""",full hd 1920x1080,intel core i5 8250u 1.6ghz,8gb,128gb ssd +  1tb hdd,amd radeon 530,windows,10,2.8kg,"1085,00",dell.jpeg
lenovo,legion y520-15ikbn,gaming,"15.6""",ips panel full hd 1920x1080,intel core i5 7300hq 2.5ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,no os,,2.4kg,"809,00",lenovo.webp
dell,inspiron 5567,notebook,"15.6""",full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,amd radeon r7 m445,windows,10,2.33kg,"899,00",dell.jpeg
hp,elitebook 1040,ultrabook,"14.0""",ips panel full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.36kg,"1750,00",hp.jpeg
asus,zenbook flip,2 in 1 convertible,"15.6""",full hd / touchscreen 1920x1080,intel core i7 7500u 2.7ghz,12gb,512gb ssd +  2tb hdd,nvidia geforce gt 940mx,windows,10,2.26kg,"1099,00",default.jpg
acer,aspire 3,notebook,"15.6""",1366x768,amd a9-series 9420 3ghz,4gb,128gb ssd,amd radeon r5,windows,10,2.1kg,"426,00",default.jpg
asus,rog strix,gaming,"17.3""",ips panel full hd 1920x1080,amd ryzen 1700 3ghz,16gb,256gb ssd +  1tb hdd,amd radeon rx 580,windows,10,3.25kg,"2199,00",default.jpg
lenovo,ideapad 110-17acl,notebook,"17.3""",1600x900,amd a8-series 7410 2.2ghz,4gb,128gb ssd,amd radeon r5,windows,10,2.6kg,"489,00",lenovo.webp
dell,inspiron 5379,2 in 1 convertible,"13.3""",full hd / touchscreen 1920x1080,intel core i7 8550u 1.8ghz,8gb,256gb ssd,intel uhd graphics 620,windows,10,1.62kg,"869,01",dell.jpeg
hp,15-bw003nv (a9-series-9420/4gb/256gb/fhd/w10),notebook,"15.6""",full hd 1920x1080,amd a9-series 9420 3ghz,4gb,256gb ssd,amd radeon r5,windows,10,1.91kg,"488,99",hp.jpeg
lenovo,yoga 11e,netbook,"11.6""",ips panel 1366x768,intel celeron quad core n3450 1.1ghz,4gb,128gb ssd,intel hd graphics 500,windows,10,1.59kg,"553,00",lenovo.webp
dell,inspiron 3552,notebook,"15.6""",1366x768,intel celeron dual core n3060 1.60ghz,4gb,500gb hdd,intel hd graphics 400,windows,10,1.8kg,"309,00",dell.jpeg
asus,vivobook e403na,notebook,"14.0""",1366x768,intel celeron dual core n3350 1.1ghz,4gb,32gb flash storage,intel hd graphics 500,windows,10,1.5kg,"286,00",default.jpg
acer,aspire 7,notebook,"15.6""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,1tb hdd,nvidia geforce gtx 1050,linux,,2.4kg,"846,00",default.jpg
hp,omen 17-w212nv,gaming,"17.3""",ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,windows,10,3.35kg,"1191,00",hp.jpeg
lenovo,v310-15isk (i3-6006u/4gb/128gb/fhd/no,notebook,"15.6""",full hd 1920x1080,intel core i3 6006u 2ghz,4gb,128gb ssd,intel hd graphics 520,no os,,1.85kg,"403,50",lenovo.webp
asus,rog strix,gaming,"15.6""",ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce gtx 1060,windows,10,2.3kg,"1655,00",default.jpg
lenovo,ideapad 720s-14ikb,notebook,"14.0""",ips panel full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,nvidia geforce 940mx,windows,10,1.5kg,"1099,00",lenovo.webp
asus,zenbook flip,ultrabook,"13.3""",full hd / touchscreen 1920x1080,intel core i7 7500u 2.7ghz,16gb,512gb ssd,intel hd graphics 620,windows,10,1.1kg,"1748,90",default.jpg
lenovo,thinkpad x1,ultrabook,"14.0""",ips panel 2560x1440,intel core i7 7500u 2.7ghz,8gb,512gb ssd,intel hd graphics 620,windows,10,1.13kg,"2282,00",lenovo.webp
lenovo,ideapad 510s-13ikb,notebook,"13.3""",ips panel full hd 1920x1080,intel core i3 7100u 2.4ghz,4gb,128gb ssd,intel hd graphics 620,windows,10,1.5kg,"549,00",lenovo.webp
dell,precision 3510,workstation,"15.6""",full hd 1920x1080,intel core i5 6440hq 2.6ghz,8gb,500gb hdd,amd firepro w5130m,windows,10,2.23kg,"1369,00",dell.jpeg
dell,precision 5520,workstation,"15.6""",ips panel full hd 1920x1080,intel core i7 6820hq 2.7ghz,8gb,256gb ssd,nvidia quadro m1200,windows,10,2kg,"2135,00",dell.jpeg
lenovo,thinkpad x1,2 in 1 convertible,"14.0""",touchscreen 2560x1440,intel core i7 7500u 2.7ghz,16gb,512gb ssd,intel hd graphics 620,windows,10,1.42kg,"2509,00",lenovo.webp
asus,rog gl753vd-gc042t,gaming,"17.3""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,1tb hdd,nvidia geforce gtx 1050,windows,10,3kg,"1039,00",default.jpg
asus,rog gl753ve-gc070t,gaming,"17.3""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce gtx 1050 ti,windows,10,3kg,"1591,00",default.jpg
acer,aspire 5,notebook,"15.6""",ips panel 1366x768,intel core i5 8250u 1.6ghz,12gb,1tb hdd,nvidia geforce mx130,windows,10,2.2kg,"693,99",default.jpg
msi,leopard gp72m,gaming,"17.3""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,256gb ssd,nvidia geforce gtx 1050 ti,windows,10,2.7kg,"1349,00",msi.webp
dell,inspiron 5567,notebook,"15.6""",full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,amd radeon r7 m445,linux,,2.33kg,"778,87",dell.jpeg
hp,15-bw004nv (a9-9420/4gb/256gb/radeon,ultrabook,"15.6""",full hd 1920x1080,amd a9-series 9420 3ghz,4gb,256gb ssd,amd radeon 520,windows,10,1.91kg,"499,00",hp.jpeg
lenovo,thinkpad e580,notebook,"15.6""",ips panel full hd 1920x1080,intel core i7 8550u 1.8ghz,8gb,256gb ssd,amd radeon rx 550,windows,10,2.1kg,"1229,56",lenovo.webp
lenovo,thinkpad l470,notebook,"14.0""",ips panel full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.9kg,"938,00",lenovo.webp
dell,precision m5520,workstation,"15.6""",4k ultra hd / touchscreen 3840x2160,intel core i7 7700hq 2.8ghz,8gb,256gb ssd,nvidia quadro m1200,windows,10,1.78kg,"2712,00",dell.jpeg
lenovo,thinkpad x1,ultrabook,"14.0""",ips panel 2560x1440,intel core i7 7500u 2.7ghz,16gb,1tb ssd,intel hd graphics 620,windows,10,1.13kg,"2625,00",lenovo.webp
lenovo,ideapad 320-15iap,notebook,"15.6""",1366x768,intel celeron dual core n3350 1.1ghz,4gb,1tb hdd,intel hd graphics 500,windows,10,2.2kg,"306,00",lenovo.webp
asus,fx753vd-gc461t (i7-7700hq/16gb/1tb,gaming,"17.3""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce gtx 1050,windows,10,2.9kg,"1529,00",default.jpg
lenovo,thinkpad e580,notebook,"15.6""",ips panel full hd 1920x1080,intel core i5 8250u 1.6ghz,8gb,256gb ssd +  1tb hdd,amd radeon rx 550,windows,10,2.1kg,"1144,50",lenovo.webp
acer,aspire 7,notebook,"15.6""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,256gb ssd,nvidia geforce gtx 1050,linux,,2.5kg,"879,00",default.jpg
msi,ge73vr 7rf,gaming,"17.3""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce gtx 1070,windows,10,2.8kg,"2249,00",msi.webp
asus,zenbook 3,ultrabook,"14.0""",full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,512gb ssd,intel hd graphics 620,windows,10,1.10kg,"1873,00",default.jpg
toshiba,portege z30-c-16p,ultrabook,"13.3""",full hd 1920x1080,intel core i7 6500u 2.5ghz,16gb,512gb ssd,intel hd graphics 520,windows,10,1.2kg,"1747,00",toshiba.webp
dell,latitude 7480,ultrabook,"14.0""",full hd 1920x1080,intel core i7 7600u 2.8ghz,8gb,512gb ssd,intel hd graphics,windows,10,1.36kg,"1680,00",dell.jpeg
lenovo,ideapad 320-15isk,notebook,"15.6""",full hd 1920x1080,intel core i3 6006u 2ghz,4gb,500gb hdd,intel hd graphics 520,windows,10,2.2kg,"409,00",lenovo.webp
lenovo,lenovo ideapad,notebook,"11.6""",1366x768,intel celeron dual core n3350 1.1ghz,2gb,32gb flash storage,intel hd graphics 500,windows,10,1.15kg,"304,45",lenovo.webp
lenovo,thinkpad p51,workstation,"15.6""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,512gb ssd,nvidia quadro m1200,windows,10,2.67kg,"1925,00",lenovo.webp
lenovo,thinkpad t470p,ultrabook,"14.0""",ips panel full hd 2560x1440,intel core i7 7700hq 2.8ghz,8gb,512gb ssd,nvidia geforce gt 940mx,windows,10,1.7kg,"1943,00",lenovo.webp
hp,15-bs028nv (i3-6006u/4gb/1tb/radeon,notebook,"15.6""",full hd 1920x1080,intel core i3 6006u 2ghz,4gb,1tb hdd,amd radeon 520,windows,10,2.1kg,"469,00",hp.jpeg
acer,aspire r7,2 in 1 convertible,"13.3""",ips panel full hd / touchscreen 1920x1080,intel core i7 6500u 2.5ghz,8gb,256gb ssd,intel hd graphics 520,windows,10,1.6kg,"789,01",default.jpg
asus,zenbook flip,2 in 1 convertible,"13.3""",ips panel full hd / touchscreen 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.27kg,"928,00",default.jpg
dell,inspiron 3567,notebook,"15.6""",full hd 1920x1080,intel core i5 7200u 2.5ghz,4gb,256gb ssd,amd radeon r5 m430,linux,,2.3kg,"598,90",dell.jpeg
dell,latitude 3380,notebook,"13.3""",1366x768,intel core i3 6006u 2ghz,4gb,128gb ssd,intel hd graphics 520,windows,10,1.65kg,"689,00",dell.jpeg
hp,elitebook 1040,ultrabook,"14.0""",full hd 1920x1080,intel core i7 6500u 2.5ghz,8gb,256gb ssd,intel hd graphics 520,windows,10,1.43kg,"1500,00",hp.jpeg
dell,inspiron 3567,notebook,"15.6""",1366x768,intel core i5 7200u 2.5ghz,8gb,1tb hdd,intel hd graphics 620,windows,10,2.14kg,"539,95",dell.jpeg
lenovo,thinkpad e480,ultrabook,"14.0""",ips panel full hd 1920x1080,intel core i7 8550u 1.8ghz,8gb,256gb ssd,amd radeon rx 550,windows,10,1.75kg,"1215,38",lenovo.webp
lenovo,yoga 720-15ikb,2 in 1 convertible,"15.6""",ips panel 4k ultra hd / touchscreen 3840x2160,intel core i7 7700hq 2.8ghz,16gb,512gb ssd,nvidia geforce gtx 1050,windows,10,2kg,"1899,00",lenovo.webp
chuwi,lapbook 12.3,notebook,"12.3""",ips panel retina display 2736x1824,intel celeron quad core n3450 1.1ghz,6gb,64gb flash storage,intel hd graphics 500,windows,10,1.4kg,"449,00",default.jpg
hp,probook 650,notebook,"15.6""",full hd 1920x1080,intel core i7 7820hq 2.9ghz,8gb,256gb ssd,intel hd graphics 630,windows,10,2.31kg,"1427,00",hp.jpeg
asus,x542uq-dm117 (i3-7100u/8gb/1tb/geforce,notebook,"15.6""",full hd 1920x1080,intel core i3 7100u 2.4ghz,8gb,1tb hdd,nvidia geforce 940mx,linux,,2.3kg,"597,00",default.jpg
dell,alienware 17,gaming,"17.3""",ips panel 2560x1440,intel core i7 7820hk 2.9ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce gtx 1070,windows,10,4.42kg,"2799,00",dell.jpeg
dell,inspiron 7577,gaming,"15.6""",ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce gtx 1050 ti,windows,10,2.62kg,"1159,00",dell.jpeg
dell,inspiron 5570,notebook,"15.6""",full hd 1920x1080,intel core i7 8550u 1.8ghz,8gb,256gb ssd +  2tb hdd,amd radeon 530,windows,10,2.02kg,"1142,40",dell.jpeg
dell,latitude 5480,ultrabook,"14.0""",full hd 1920x1080,intel core i7 7600u 2.8ghz,8gb,256gb ssd,intel hd graphics 620,linux,,1.6kg,"1099,00",dell.jpeg
hp,omen 17-w207nv,gaming,"17.3""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,12gb,256gb ssd +  1tb hdd,nvidia geforce gtx 1070,windows,10,3.35kg,"1999,00",hp.jpeg
mediacom,flexbook edge,2 in 1 convertible,"11.6""",ips panel full hd / touchscreen 1920x1080,intel celeron dual core n3350 1.1ghz,4gb,32gb ssd,intel hd graphics 500,windows,10,1.16kg,"299,00",default.jpg
samsung,chromebook 3,netbook,"11.6""",1366x768,intel celeron dual core n3060 1.6ghz,4gb,16gb flash storage,intel hd graphics 400,chrome os,,1.15kg,"269,00",default.jpg
lenovo,thinkpad 13,notebook,"13.3""",ips panel full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.4kg,"1010,00",lenovo.webp
lenovo,ideapad 320s-14ikb,notebook,"14.0""",ips panel full hd 1920x1080,intel core i3 7130u 2.7ghz,4gb,128gb ssd,intel hd graphics 620,windows,10,1.7kg,"599,00",lenovo.webp
lenovo,thinkpad t570,workstation,"15.6""",ips panel 4k ultra hd 3840x2160,intel core i7 7600u 2.8ghz,16gb,512gb ssd,nvidia geforce 940mx,windows,10,2.3kg,"2445,00",lenovo.webp
lenovo,thinkpad p51,notebook,"15.6""",full hd 1920x1080,intel core i7 7820hq 2.9ghz,16gb,512gb ssd,nvidia quadro m2200m,windows,10,2.5kg,"2449,00",lenovo.webp
asus,rog strix,gaming,"17.3""",full hd 1920x1080,amd ryzen 1600 3.2ghz,8gb,256gb ssd +  1tb hdd,amd radeon rx 580,windows,10,3.2kg,"1695,00",default.jpg
hp,15-ra044nv (n3060/4gb/500gb/w10),notebook,"15.6""",1366x768,intel celeron dual core n3060 1.6ghz,4gb,500gb hdd,intel hd graphics 400,windows,10,2.1kg,"347,00",hp.jpeg
google,pixelbook (core,ultrabook,"12.3""",touchscreen 2400x1600,intel core i7 7y75 1.3ghz,16gb,512gb ssd,intel hd graphics 615,chrome os,,1.1kg,"2199,00",default.jpg
lenovo,thinkpad t470s,ultrabook,"14.0""",2560x1440,intel core i7 7500u 2.7ghz,24gb,512gb ssd,intel hd graphics 620,windows,10,1.32kg,"2382,00",lenovo.webp
asus,vivobook max,notebook,"15.6""",full hd 1920x1080,intel core i5 7200u 2.5ghz,4gb,256gb ssd,intel hd graphics 620,linux,,2kg,"559,00",default.jpg
lenovo,ideapad 320-15ast,notebook,"17.3""",1600x900,amd a6-series 9220 2.5ghz,8gb,1tb hdd,amd radeon r4,windows,10,2.8kg,"519,00",lenovo.webp
dell,inspiron 5570,notebook,"15.6""",full hd 1920x1080,intel core i5 8250u 1.6ghz,4gb,256gb ssd,amd radeon 530,windows,10,2.2kg,"749,00",dell.jpeg
lenovo,thinkpad x270,ultrabook,"12.5""",ips panel full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.36kg,"1429,00",lenovo.webp
lenovo,ideapad 320-15iap,notebook,"15.6""",full hd 1920x1080,intel pentium quad core n4200 1.1ghz,4gb,128gb ssd,intel hd graphics 505,windows,10,2.2kg,"349,00",lenovo.webp
hp,omen 15-ax205na,gaming,"15.6""",ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,windows,10,2.2kg,"1099,00",hp.jpeg
